Text
"This product is great, I absolutely love it!"
"The service was terrible, I’m never coming back."
"Meh, the food was okay, but not worth the price."
"Best experience ever, highly recommended!"
"Awful, I hated every minute of it."
"I had a fantastic time, everything was perfect!"
"The worst customer service I’ve ever experienced."
"Good value for money, I’ll definitely return."
"Terrible experience, will not recommend to anyone."
"Absolutely loved it, would give 10 stars if I could!"
"Disappointing. Expected much more for the price."
"Amazing! Exceeded all my expectations."
"Not too bad, but could be better."
"Awful, just awful."
"Had a lovely time, the staff was friendly."
